Productos Activos

Código del producto              	Nombre del producto                                            	                          Impuesto 1	                            Precio 1	                             Estatus	
1000                             	CAMARON U/8                                                    	                                0.00	                                0.00	                                   0	
1000AZ                           	CAMARON U/8 AZUL                                               	                                0.00	                              552.00	                                   1	
1001                             	CAMARON U/10                                                   	                                0.00	                                0.00	                                   0	
1001AZ                           	CAMARON U/10 AZUL                                              	                                0.00	                              492.00	                                   1	
1002                             	CAMARON U/12                                                   	                                0.00	                              253.00	                                   1	
1002AZ                           	CAMARON U/12 AZUL                                              	                                0.00	                              382.00	                                   1	
1003                             	CAMARON U/15                                                   	                                0.00	                              209.00	                                   1	
1003AZ                           	CAMARON U/15 AZUL                                              	                                0.00	                              282.00	                                   1	
1004                             	CAMARON 16/20                                                  	                                0.00	                              179.00	                                   1	
1004AZ                           	CAMARON 16/20 AZUL                                             	                                0.00	                                0.00	                                   0	
1004EX                           	RAW FARM SHRIMP 16/20                                          	                                0.00	                                0.00	                                   0	
1005                             	CAMARON CR GRANJA 21/25                                        	                                0.00	                              162.00	                                   1	
1005A                            	CAMARON COCIDO 21/25 A                                         	                                0.00	                              208.00	                                   1	
1005A1                           	CAMARON COCIDO 21/25                                           	                                0.00	                                0.00	                                   1	
1005CE                           	CAMARON COCIDO IMP  21/25 CEPESMAR                             	                                0.00	                              202.00	                                   1	
1005CEP                          	CAMARON COCIDO IMP 21/25 500G CEPESMAR                         	                                0.00	                              202.00	                                   1	
1005CSPE                         	CAMARON COCIDO 21/25 C CON CASCARA                             	                                0.00	                              240.00	                                   0	
1005EX                           	CAMARON CR GRANJA 21/25                                        	                                0.00	                              159.00	                                   0	
1005K                            	CAMARON COCIDO 21/25 K                                         	                                0.00	                              125.00	                                   1	
1005PD                           	CAMARON CR 21/25 PYD IQF                                       	                                0.00	                              211.00	                                   1	
1005Z                            	CAMARON CR DE GRANJA 21/25                                     	                                0.00	                              162.00	                                   1	
1006                             	CAMARON CR GRANJA 26/30                                        	                                0.00	                              151.00	                                   1	
1006A                            	CAMARON COCIDO 26/30 A                                         	                                0.00	                              210.00	                                   0	
1006B                            	CAMARON COCIDO 26/30 B                                         	                                0.00	                                0.00	                                   0	
1006C                            	CAMARON COCIDO 26/30 C                                         	                                0.00	                                0.00	                                   0	
1006E                            	CAMARON COCIDO 26/30 E                                         	                                0.00	                              170.00	                                   0	
1006EX                           	CAMARON CR GRANJA 26/30                                        	                                0.00	                              150.00	                                   0	
1006PD                           	CAMARON CR 26/30 PYD IQF                                       	                                0.00	                              196.00	                                   1	
1006PM                           	CAMARON CRUDO PELADO 26/30 CORTE MARIPOSA                      	                                0.00	                                0.00	                                   1	
1006Z                            	CAMARON CR DE GRANJA 26/30                                     	                                0.00	                              151.00	                                   1	
1007                             	CAMARON CR GRANJA 31/35                                        	                                0.00	                              144.00	                                   1	
1007A                            	CAMARON COCIDO 31/35 A                                         	                                0.00	                              211.00	                                   1	
1007A1                           	CAMARON COCIDO 31/35                                           	                                0.00	                                0.00	                                   1	
1007B                            	CAMARON COCIDO 31/35 B                                         	                                0.00	                                0.00	                                   0	
1007C                            	CAMARON COCIDO 31/35 C                                         	                                0.00	                              191.00	                                   1	
1007CE                           	CAMARON COCIDO IMP  31/35 CEPESMAR                             	                                0.00	                              181.00	                                   1	
1007CEP                          	CAMARON COCIDO IMP  31/35 500G CEPESMAR                        	                                0.00	                              181.00	                                   1	
1007E                            	CAMARON COCIDO 31/35 E                                         	                                0.00	                                0.00	                                   0	
1007EMP                          	CAMARON 31/35 EMPANIZADO                                       	                                0.00	                                0.00	                                   1	
1007ES                           	CAMARON COCIDO 31/35 E                                         	                                0.00	                                0.00	                                   1	
1007EX                           	CAMARON CR GRANJA 31/35                                        	                                0.00	                              142.00	                                   0	
1007K                            	CAMARON COCIDO 31/35 K                                         	                                0.00	                              227.00	                                   0	
1007MK                           	CAMARON COCIDO 31/35 500 GRAMOS                                	                                0.00	                              105.00	                                   1	
1007P                            	CAMARON COCIDO 31/35 P                                         	                                0.00	                                0.00	                                   1	
1007Z                            	CAMARON CR DE GRANJA 31/35                                     	                                0.00	                              144.00	                                   1	
1008                             	CAMARON CR GRANJA 36/40                                        	                                0.00	                              139.00	                                   1	
1008A                            	CAMARON COCIDO 36/40 A                                         	                                0.00	                              183.00	                                   1	
1008B                            	CAMARON COCIDO 36/40 B                                         	                                0.00	                                0.00	                                   0	
1008C                            	CAMARON COCIDO 36/40 C                                         	                                0.00	                              166.00	                                   0	
1008E                            	CAMARON COCIDO 36/40 E                                         	                                0.00	                              148.00	                                   1	
1008ES                           	CAMARON COCIDO 36/40 E                                         	                                0.00	                                0.00	                                   1	
1008EX                           	CAMARON CR GRANJA 36/40                                        	                                0.00	                              140.00	                                   0	
1008MK                           	CAMARON COCIDO CON CASCARA 36/40 500 GRAMOS                    	                                0.00	                               96.00	                                   0	
1008Z                            	CAMARON CR DE GRANJA 36/40                                     	                                0.00	                              139.00	                                   1	
1009                             	CAMARON CR GRANJA 41/50                                        	                                0.00	                              133.00	                                   1	
1009A                            	CAMARON COCIDO 41/50 A                                         	                                0.00	                              177.00	                                   1	
1009A1                           	CAMARON COCIDO 41/50                                           	                                0.00	                                0.00	                                   1	
1009ACC                          	CAMARON COCIDO 41/50 C/CASCARA                                 	                                0.00	                              225.00	                                   1	
1009B                            	CAMARON COCIDO 41/50 B                                         	                                0.00	                              184.00	                                   0	
1009C                            	CAMARON COCIDO 41/50 C                                         	                                0.00	                              161.00	                                   1	
1009CE                           	CAMARON COCIDO IMP  41/50 CEPESMAR                             	                                0.00	                                0.00	                                   1	
1009CEP                          	CAMARON COCIDO IMP 41/50 500G CEPESMAR                         	                                0.00	                                0.00	                                   1	
1009CS                           	CAMARON COCIDO 41/50 C                                         	                                0.00	                                0.00	                                   0	
1009CSPE                         	CAMARON COCIDO 41/50 C CON CASCARA                             	                                0.00	                                0.00	                                   0	
1009E                            	CAMARON COCIDO 41/50 E                                         	                                0.00	                              144.00	                                   1	
1009ECC                          	CAMARON COCIDO 41/50 C/CASCARA                                 	                                0.00	                              180.00	                                   1	
1009ES                           	CAMARON COCIDO 41/50 E                                         	                                0.00	                                0.00	                                   0	
1009EX                           	CAMARON CR GRANJA 41/50                                        	                                0.00	                              138.00	                                   0	
1009K                            	CAMARON COCIDO 41/50 K                                         	                                0.00	                              108.00	                                   1	
1009P                            	CAMARON COCIDO 41/50 P                                         	                                0.00	                               49.00	                                   1	
1009PD                           	CAMARON CR 41/50 PYD IQF                                       	                                0.00	                              181.00	                                   1	
1009Z                            	CAMARON CR DE GRNAJA 41/50                                     	                                0.00	                              133.00	                                   1	
1010                             	CAMARON CR GRANJA 51/60                                        	                                0.00	                              137.00	                                   1	
1010A                            	CAMARON COCIDO 51/60 A                                         	                                0.00	                              172.00	                                   1	
1010ACC                          	CAMARON COCIDO 51/60 C/CASCARA                                 	                                0.00	                              222.00	                                   1	
1010AESPE                        	CAMARON COCIDO 51/60 A CON CASCARA                             	                                0.00	                              177.00	                                   0	
1010B                            	CAMARON COCIDO 51/60 B                                         	                                0.00	                              163.00	                                   0	
1010C                            	CAMARON COCIDO 51/60 C                                         	                                0.00	                              155.00	                                   0	
1010E                            	CAMARON COCIDO 51/60 E                                         	                                0.00	                              140.00	                                   1	
1010ES                           	CAMARON COCIDO 51/60 E                                         	                                0.00	                                0.00	                                   1	
